symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
AGCO,58.0,,,79.33999633789062,,0.7362,99.0,0.5289,98.0,0.6471,99.0,0.6683,99.0,0.414,84.0,0.3428,82.0,0.3723,78.0,0.4529,91.0
AGEN,25.0,,,1.559999942779541,,0.6334,59.0,0.7487,70.0,,,1.6761,96.0,0.8712,81.0,0.8556,83.0,,,1.6761,96.0
AGG,,,,99.45999908447266,,0.0432,65.0,0.0589,94.0,0.0879,95.0,0.088,89.0,0.0512,76.0,0.0383,76.0,0.0485,76.0,0.0902,82.0
AGGY,,,,43.689998626708984,,0.0327,7.0,0.0389,69.0,,,,,0.0529,18.0,0.0366,46.0,,,,
AGI,45.0,,,24.520000457763672,,0.63,82.0,0.5208,82.0,0.5231,63.0,0.5672,73.0,0.3571,18.0,0.3032,15.0,0.3928,17.0,0.4256,25.0
AGIO,51.0,,,25.760000228881836,,0.6346,73.0,0.6138,77.0,0.6615,66.0,0.7531,82.0,0.6313,65.0,0.5486,63.0,0.7552,93.0,0.7934,96.0
AGL,39.0,,,4.150000095367432,,0.5248,68.0,0.6892,83.0,0.8934,84.0,1.0002,94.0,1.0615,96.0,0.8816,99.0,0.8215,90.0,0.8992,95.0
AGM,43.0,,,174.5,,0.4351,77.0,0.3197,63.0,0.4588,75.0,0.3913,60.0,0.2967,32.0,0.2302,7.0,0.3193,49.0,0.3674,57.0
AGNC,68.0,,,8.979999542236328,,0.2531,77.0,0.2467,80.0,0.4654,97.0,0.415,93.0,0.1882,57.0,0.1749,54.0,0.2597,68.0,0.5225,95.0
AGNG,,,,29.059999465942383,,0.322,99.0,0.1695,94.0,0.2435,,,,0.1465,63.0,0.109,65.0,0.2435,,,
AGO,37.0,,,79.05999755859375,,0.425,77.0,0.2755,61.0,0.4682,75.0,0.4858,75.0,0.2782,49.0,0.2045,32.0,0.3291,55.0,0.3725,61.0
AGQ,,,,33.06999969482422,,1.4068,99.0,0.5693,94.0,0.6883,83.0,0.8831,96.0,0.6343,71.0,0.3473,48.0,0.5621,50.0,0.6412,54.0
AGRO,23.0,,,11.06999969482422,,0.2923,52.0,0.2738,40.0,,,0.615,87.0,0.2809,16.0,0.2632,11.0,,,0.5728,90.0
AGS,30.0,,,11.979999542236328,,0.0686,11.0,0.0489,6.0,,,,,0.0507,4.0,0.0532,1.0,,,,
AGX,121.0,,,120.08000183105467,,1.4172,100.0,0.7643,99.0,0.9244,98.0,0.8487,97.0,0.7287,100.0,0.6063,100.0,0.7021,100.0,0.7284,100.0
AGYS,74.0,,,69.3499984741211,,0.4016,60.0,0.3907,53.0,0.7449,92.0,0.746,92.0,0.5741,79.0,0.4261,53.0,0.6033,89.0,0.6227,90.0
AGZ,,,,109.75,,0.0416,75.0,0.0271,65.0,,,,,0.0319,41.0,0.029,71.0,,,,
AHCO,39.0,,,10.100000381469728,,0.3523,30.0,0.3585,16.0,0.49,16.0,0.4999,25.0,0.5477,22.0,0.4652,24.0,0.4497,8.0,0.4641,8.0
AHH,45.0,,,6.849999904632568,,0.3421,85.0,0.3909,95.0,0.7928,97.0,0.7415,97.0,0.2854,81.0,0.2527,77.0,0.4012,80.0,0.7415,99.0
AHR,37.0,,,28.5,,0.4384,75.0,0.3725,99.0,0.757,,0.5463,,0.3029,60.0,0.312,99.0,0.4715,,0.4641,
AI,38.0,,,18.989999771118164,,0.6225,81.0,0.5404,77.0,0.7578,77.0,0.7757,81.0,0.69,79.0,0.6182,80.0,0.7089,79.0,0.666,65.0
AIA,,,,65.93000030517578,,0.4322,97.0,0.1754,94.0,0.4078,96.0,0.3393,75.0,0.255,69.0,0.123,65.0,0.2785,99.0,0.3393,93.0
AIBU,,,,21.299999237060547,,1.1069,,0.5989,,0.8322,,0.8561,,0.6043,,0.3742,,0.7513,,0.7848,
AIEQ,,,,33.150001525878906,,0.5851,100.0,0.2864,98.0,0.3873,96.0,0.291,59.0,0.2333,56.0,0.1369,39.0,0.271,88.0,0.291,72.0
AIFU,,,,0.2000000029802322,,0.9156,,1.3664,,,,,,1.3239,,1.2964,,,,,
AIG,53.0,,,78.94999694824219,,0.6202,90.0,0.3521,80.0,0.4534,85.0,0.468,85.0,0.2417,45.0,0.2131,47.0,0.2678,52.0,0.359,73.0
AIN,38.0,,,61.560001373291016,,0.5851,93.0,0.3664,84.0,0.5677,90.0,0.6265,95.0,0.361,69.0,0.2895,65.0,0.3444,57.0,0.3737,70.0
AIOT,54.0,,,4.269999980926514,,1.0791,,0.9159,,1.7381,,0.9148,,0.8168,,0.699,,0.8568,,0.9148,
AIP,46.0,,,5.989999771118164,,0.7736,82.0,0.5538,37.0,1.2759,99.0,,,0.6794,28.0,0.5926,14.0,1.2759,100.0,,
AIPI,,,,35.709999084472656,,0.5173,,0.314,,0.6676,,0.5362,,0.2701,,0.1832,,0.3466,,0.7774,
AIQ,,,,32.400001525878906,,0.5179,94.0,0.2713,75.0,0.3998,81.0,0.4519,80.0,0.2536,55.0,0.1668,49.0,0.3145,75.0,0.3372,75.0
AIR,88.0,,,50.08000183105469,,1.0997,98.0,0.6897,95.0,0.5879,90.0,0.5414,85.0,0.4402,70.0,0.311,44.0,0.3812,57.0,0.3896,59.0
AIRG,242.0,,,3.359999895095825,,0.9458,92.0,0.8093,92.0,,,,,0.6802,83.0,0.6384,80.0,,,,
AIRR,,,,62.58000183105469,,0.5385,100.0,0.3298,100.0,,,,,0.2816,95.0,0.2009,92.0,,,,
AIRS,22.0,,,1.9800000190734863,,0.6512,52.0,1.1054,90.0,1.2277,93.0,,,0.9604,86.0,0.9816,100.0,1.2277,99.0,,
AISP,36.0,,,3.569999933242798,,0.8466,,0.8692,,1.2093,,1.8872,,1.3386,,1.3236,,0.6309,,1.8872,
AIT,66.0,,,210.8500061035156,,0.6124,95.0,0.4201,93.0,0.5484,94.0,0.5276,93.0,0.3533,81.0,0.2562,62.0,0.3637,82.0,0.3798,82.0
AIV,40.0,,,7.829999923706055,,0.5234,91.0,0.3105,79.0,0.4844,85.0,1.0825,99.0,0.2576,61.0,0.241,63.0,0.3952,76.0,0.3932,70.0
AIVC,,,,37.492000579833984,,0.6322,,0.1716,,,,,,0.3286,,0.1722,,,,,
AIVI,,,,41.0099983215332,,0.3768,100.0,0.1275,100.0,0.2268,,,,0.1553,90.0,0.058,83.0,0.2268,,,
