symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
ACHR,93.0,,,10.09000015258789,,0.4519,,0.5975,,0.6839,,0.6953,,0.7067,,1.1317,,1.0189,,0.805,,0.8102,,0.8153,,20270115.0,7.0,609.0
ACHV,81.0,,,3.5799999237060547,,0.7544,,0.7308,,2.0055,,,,,,0.7503,,0.7467,,1.0055,,,,,,20251219.0,35.0,217.0
ACI,143.0,,,22.229999542236328,,0.106,5.0,0.1608,9.0,0.2237,6.0,0.2238,3.0,0.224,4.0,0.2936,15.0,0.2803,20.0,0.2297,7.0,0.2603,3.0,0.291,3.0,20270115.0,7.0,609.0
ACIC,93.0,,,10.800000190734863,,0.1064,,0.1658,,0.4223,,0.3813,,0.3404,,0.347,,0.4005,,0.4397,,0.4352,,0.4308,,20251121.0,35.0,189.0
ACIO,,,,40.189998626708984,,0.1269,,0.095,,,,,,,,0.1498,,0.1193,,,,,,,,20251121.0,35.0,189.0
ACIU,79.0,,,1.7100000381469727,,0.4255,30.0,0.466,17.0,,,,,,,0.4817,1.0,0.5849,8.0,,,,,,,20251121.0,35.0,189.0
ACIW,93.0,,,46.2599983215332,,0.3073,61.0,0.2618,44.0,0.3439,50.0,0.3354,45.0,0.3269,43.0,0.4066,74.0,0.3444,69.0,0.3434,63.0,0.3601,68.0,0.3768,71.0,20251121.0,35.0,189.0
ACLS,110.0,,,56.34000015258789,,0.4341,45.0,0.383,30.0,0.4882,41.0,0.487,39.0,0.4858,38.0,0.5584,57.0,0.4959,56.0,0.546,65.0,0.5427,63.0,0.5394,61.0,20251219.0,35.0,217.0
ACLX,93.0,,,62.060001373291016,,0.651,,0.6753,,0.7006,,0.6928,,0.685,,0.6245,,0.6611,,0.7036,,0.6819,,0.6601,,20251219.0,35.0,217.0
ACM,117.0,,,109.8499984741211,,0.1731,23.0,0.1641,12.0,0.2062,6.0,0.194,3.0,0.1818,2.0,0.2538,32.0,0.2562,48.0,0.233,5.0,0.252,9.0,0.2709,21.0,20260417.0,35.0,336.0
ACMR,94.0,,,22.549999237060547,,0.4652,44.0,0.3662,31.0,0.5924,51.0,0.6118,52.0,0.6313,56.0,0.8206,67.0,0.6269,72.0,0.6595,53.0,0.7067,65.0,0.7539,77.0,20270115.0,35.0,609.0
ACN,72.0,,,316.82000732421875,,0.198,50.0,0.129,18.0,0.2279,48.0,0.2291,47.0,0.2303,46.0,0.2982,75.0,0.2377,71.0,0.257,63.0,0.2868,72.0,0.3167,77.0,20270115.0,7.0,609.0
ACNB,128.0,,,41.56999969482422,,0.2515,,0.2336,,0.3682,,0.3262,,0.2842,,0.2978,,0.3187,,0.3269,,0.3019,,0.2769,,20260116.0,35.0,245.0
ACNT,388.0,,,12.920000076293945,,0.185,,0.2262,,,,,,,,0.2785,,0.3013,,,,,,,,20251219.0,35.0,217.0
ACR,87.0,,,18.90999984741211,,0.3054,57.0,0.3824,75.0,0.4256,,0.442,,0.4584,,0.4,65.0,0.4047,83.0,0.4256,,0.442,,0.4584,,20251121.0,35.0,189.0
ACRE,108.0,,,4.610000133514404,,0.3636,85.0,0.2869,78.0,0.3692,69.0,0.3752,67.0,0.3811,73.0,0.4722,95.0,0.3972,94.0,0.4597,89.0,0.4204,83.0,0.3811,76.0,20251121.0,35.0,189.0
ACRS,93.0,,,1.4600000381469727,,0.7656,74.0,0.7416,67.0,1.1979,75.0,,,,,0.6633,44.0,0.7452,63.0,1.1979,80.0,,,,,20251219.0,35.0,217.0
ACT,116.0,,,35.400001525878906,,0.2231,59.0,0.2357,65.0,0.3107,56.0,0.2732,37.0,0.2358,23.0,0.2251,39.0,0.228,41.0,0.3107,64.0,0.2886,36.0,0.2665,16.0,20260116.0,35.0,245.0
ACTG,79.0,,,3.7300000190734863,,0.356,43.0,0.3331,25.0,0.6549,60.0,,,,,0.4423,35.0,0.3933,24.0,0.4773,21.0,,,,,20251121.0,35.0,189.0
ACVA,101.0,,,16.3799991607666,,0.3411,23.0,0.2849,4.0,0.6762,65.0,0.5588,,0.4413,,0.5105,51.0,0.5017,56.0,0.559,38.0,0.5382,,0.5174,,20251121.0,35.0,189.0
ACWI,,,,123.6500015258789,,0.1459,59.0,0.1035,57.0,0.1352,57.0,0.1487,60.0,0.1622,63.0,0.2222,81.0,0.17,85.0,0.1158,33.0,0.1574,50.0,0.1989,60.0,20270115.0,35.0,609.0
ACWV,,,,118.33999633789062,,0.0832,48.0,0.0642,45.0,0.0934,53.0,0.129,73.0,0.1645,84.0,0.1373,79.0,0.1142,83.0,0.0785,41.0,0.1106,44.0,0.1426,47.0,20260116.0,35.0,245.0
ACWX,,,,59.47999954223633,,0.0933,24.0,0.0755,37.0,0.1213,35.0,0.1548,59.0,0.1883,69.0,0.1944,71.0,0.1326,77.0,0.1135,22.0,0.1449,31.0,0.1763,42.0,20251219.0,35.0,217.0
ACXP,75.0,,,0.3885999917984009,,0.2049,,0.3865,,,,,,,,1.1969,,0.9413,,,,,,,,20260116.0,35.0,245.0
ADAP,199.0,,,0.29249998927116394,,0.5859,42.0,0.828,63.0,,,,,,,1.0957,91.0,1.0661,89.0,,,,,,,20251219.0,35.0,217.0
ADBE,80.0,,,415.0899963378906,,0.1497,15.0,0.1386,8.0,0.4113,82.0,0.412,82.0,0.4126,82.0,0.403,80.0,0.2612,54.0,0.354,74.0,0.3587,76.0,0.3634,75.0,20271217.0,7.0,945.0
ADC,109.0,,,75.30000305175781,,0.163,46.0,0.1672,38.0,0.1266,2.0,0.1754,9.0,0.2242,39.0,0.2029,56.0,0.2074,63.0,0.1846,36.0,0.1933,24.0,0.202,20.0,20260116.0,35.0,245.0
ADCT,205.0,,,3.0899999141693115,,1.1171,90.0,1.5019,99.0,1.108,90.0,,,,,1.4028,99.0,1.084,97.0,1.2022,95.0,,,,,20260116.0,35.0,245.0
ADEA,102.0,,,12.84000015258789,,0.3284,,0.2296,,0.4162,,0.4072,,0.3982,,0.4992,,0.3914,,0.4162,,0.4072,,0.3982,,20251219.0,35.0,217.0
ADI,101.0,,,213.97999572753906,,0.3594,76.0,0.293,74.0,0.2861,51.0,0.3036,57.0,0.321,62.0,0.4793,91.0,0.3698,89.0,0.3379,81.0,0.3359,77.0,0.334,63.0,20270617.0,7.0,762.0
ADM,116.0,,,48.27000045776367,,0.2518,63.0,0.1764,34.0,0.2628,59.0,0.2603,57.0,0.2579,54.0,0.309,74.0,0.2711,82.0,0.2021,21.0,0.2656,52.0,0.3291,79.0,20270115.0,7.0,609.0
ADMA,89.0,,,19.84000015258789,,0.2545,6.0,0.3169,5.0,0.4339,2.0,0.4926,4.0,0.5512,9.0,0.589,39.0,0.586,38.0,0.7026,28.0,0.6571,25.0,0.6116,17.0,20270115.0,35.0,609.0
ADNT,123.0,,,15.59000015258789,,0.5268,67.0,0.2848,24.0,0.5067,51.0,0.5023,51.0,0.4979,50.0,0.5656,59.0,0.499,71.0,0.5564,61.0,0.5584,62.0,0.5603,62.0,20260116.0,35.0,245.0
ADP,122.0,,,325.5299987792969,,0.1022,17.0,0.1108,14.0,0.1555,28.0,0.1712,40.0,0.1868,50.0,0.2133,66.0,0.2051,73.0,0.2192,61.0,0.2234,57.0,0.2277,45.0,20270115.0,7.0,609.0
ADPT,109.0,,,9.520000457763672,,0.3571,11.0,0.4842,21.0,0.7124,33.0,0.785,43.0,0.8575,57.0,0.8446,78.0,0.8211,95.0,1.0871,92.0,0.9362,84.0,0.7853,63.0,20260116.0,35.0,245.0
ADSE,,,,12.5,,0.5737,,0.9487,,,,,,1.0449,,0.44,,0.6172,,,,,,1.0449,,20251121.0,35.0,189.0
ADSK,93.0,,,296.1199951171875,,0.1464,9.0,0.2254,30.0,0.2112,2.0,0.2233,4.0,0.2354,7.0,0.2892,25.0,0.2632,35.0,0.3131,7.0,0.3199,7.0,0.3267,11.0,20270617.0,7.0,762.0
ADT,93.0,,,8.319999694824219,,0.2659,40.0,0.2049,17.0,0.3116,28.0,0.3019,24.0,0.2922,22.0,0.2934,26.0,0.2769,35.0,0.3425,39.0,0.344,36.0,0.3455,34.0,20251121.0,35.0,189.0
ADTN,205.0,,,8.029999732971191,,0.2796,40.0,0.3218,49.0,0.5178,79.0,0.514,77.0,0.5101,75.0,0.545,86.0,0.5305,96.0,0.5598,96.0,0.5703,96.0,0.5809,95.0,20251121.0,35.0,189.0
ADUS,96.0,,,110.91000366210938,,0.3145,60.0,0.2761,39.0,0.3273,26.0,0.3002,14.0,0.2731,9.0,0.3223,37.0,0.3084,19.0,0.3287,20.0,0.3277,19.0,0.3267,20.0,20260116.0,35.0,245.0
ADV,85.0,,,1.190000057220459,,1.0423,96.0,0.8635,92.0,,,,,,,0.8206,100.0,0.7817,100.0,,,,,,,20251121.0,35.0,189.0
ADVM,208.0,,,2.2200000286102295,,0.6465,55.0,0.6761,50.0,,,,,,,0.8885,74.0,0.9477,88.0,,,,,,,20251219.0,35.0,217.0
AEE,107.0,,,96.87999725341797,,0.2033,74.0,0.1658,60.0,0.0913,1.0,0.1504,16.0,0.2094,57.0,0.2059,74.0,0.2044,80.0,0.1944,68.0,0.1912,52.0,0.188,38.0,20260116.0,35.0,245.0
