percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
57,0.622546,0.7885279999999999,0.773582,0.78941,0.665282,0.695,0.7390279999999999,0.7969820000000001,0.7925099999999999,0.73393,0.77795,0.7712699999999999,0.7659,0.79452,0.7515099999999999,0.79241,0.74472,0.7917299999999999,0.73551,0.78393,0.6665559999999999,0.746282,0.7576,0.7559,0.6934279999999999,0.700464,0.7039639999999999,0.7196279999999999
58,0.630861,0.7912,0.786961,0.797422,0.673861,0.702383,0.7499,0.803483,0.7966099999999999,0.738745,0.78423,0.777515,0.7725099999999999,0.798805,0.75591,0.7966,0.74874,0.7964,0.7403,0.791805,0.674461,0.7546,0.761861,0.760122,0.700261,0.708861,0.710344,0.7253149999999998
59,0.64064,0.79424,0.7917,0.8065199999999999,0.6826799999999998,0.7111,0.7575599999999999,0.8127399999999999,0.8007,0.7437,0.7901,0.7819,0.7766,0.8038,0.7615,0.8029,0.7536,0.8012,0.745,0.7989,0.6844199999999999,0.76128,0.7666,0.765,0.7078399999999999,0.71444,0.7185,0.73708
60,0.649757,0.7986,0.799719,0.8171,0.697157,0.719676,0.774238,0.818257,0.80825,0.7467900000000001,0.7973,0.7881,0.7808,0.80889,0.76609,0.809395,0.758085,0.80679,0.7498400000000001,0.8055,0.693838,0.770657,0.7702,0.770957,0.715619,0.719019,0.724919,0.745019
61,0.656696,0.801894,0.810698,0.8291,0.7062940000000001,0.726392,0.791582,0.824,0.81577,0.7517900000000001,0.8032900000000001,0.79517,0.7869000000000002,0.8170900000000001,0.7716900000000001,0.8171600000000001,0.76437,0.81348,0.75378,0.81178,0.705796,0.7791980000000001,0.7818940000000001,0.778388,0.722096,0.725496,0.733998,0.760988
62,0.6681239999999999,0.807308,0.825477,0.834585,0.7147,0.733431,0.807808,0.828454,0.821,0.7551549999999999,0.807085,0.80024,0.7933549999999999,0.8219549999999999,0.77537,0.824585,0.771585,0.81947,0.7571549999999999,0.81724,0.714754,0.787077,0.788254,0.7875,0.727585,0.732854,0.741254,0.781555
63,0.679168,0.814712,0.8387359999999999,0.839112,0.725624,0.739856,0.8167,0.837212,0.8257,0.76006,0.8133199999999999,0.8062,0.79916,0.82658,0.77978,0.82778,0.77598,0.8257,0.76222,0.82346,0.721992,0.7952359999999999,0.796612,0.796712,0.734356,0.7412559999999999,0.751224,0.796312
64,0.6885,0.8198150000000002,0.8476,0.84157,0.733535,0.7534,0.828875,0.843035,0.8325,0.765625,0.8185,0.8109,0.8033250000000001,0.8324750000000001,0.7857000000000001,0.8331,0.7812749999999999,0.8316,0.768825,0.8265,0.72967,0.80327,0.80694,0.808135,0.74007,0.750935,0.7614500000000002,0.80567
65,0.700614,0.828114,0.854614,0.8453,0.7465400000000001,0.767628,0.842028,0.850326,0.8386100000000001,0.7717700000000001,0.8244100000000001,0.81754,0.8071400000000001,0.83882,0.7931,0.83867,0.7858,0.83874,0.7732,0.83307,0.738142,0.811414,0.817142,0.815242,0.7467280000000001,0.7567,0.776242,0.8128139999999999
66,0.7103860000000001,0.833893,0.8624720000000001,0.852893,0.756379,0.780393,0.852986,0.8606790000000001,0.84523,0.7765850000000001,0.8277,0.82086,0.8110850000000001,0.845195,0.80025,0.8439,0.7929,0.845565,0.77743,0.83953,0.7486230000000004,0.817793,0.8267,0.826393,0.7528650000000001,0.762486,0.784993,0.8191510000000003
