percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
51,0.1767,0.1847,0.1849,0.185168,0.182568,0.187468,0.1867,0.1847,0.201664,0.202664,0.200364,0.201164,0.2024,0.2,0.202664,0.1986,0.202664,0.197364,0.202664,0.1992,0.071768,0.0876,0.0868,0.0847,0.076268,0.078368,0.080768,0.0871
52,0.178927,0.185727,0.1881,0.186627,0.1839,0.188227,0.1873,0.185827,0.2026,0.204071,0.2012,0.203171,0.2037,0.201371,0.204071,0.2,0.204071,0.1992,0.204071,0.2007,0.073127,0.0888,0.0872,0.0854,0.0773,0.0792,0.0814,0.087727
53,0.180772,0.1878,0.1892,0.1883,0.1852,0.189486,0.1881,0.186586,0.2042,0.205578,0.203056,0.2045,0.2051559999999999,0.203234,0.205578,0.201578,0.205578,0.2010559999999999,0.205578,0.2021,0.0741,0.0891,0.0878,0.0861,0.0781,0.0798,0.082,0.089286
54,0.182445,0.189345,0.1902,0.18969,0.18819,0.1907,0.1891,0.1873,0.206,0.2064,0.20497,0.205685,0.206185,0.204685,0.2064,0.2027,0.2064,0.202585,0.2064,0.2036,0.0753,0.090035,0.08859,0.0874,0.0788,0.081045,0.084535,0.0901
55,0.183704,0.1908,0.191504,0.191504,0.191008,0.192304,0.1898,0.1885,0.2078,0.2076,0.2062,0.206492,0.2076,0.206492,0.2076,0.204292,0.2076,0.2038,0.2076,0.205584,0.076204,0.0912,0.089,0.088304,0.0795,0.0824,0.086804,0.0908
56,0.185963,0.191826,0.1926,0.192263,0.193,0.1932,0.190563,0.1899,0.2092,0.2091,0.207598,0.2082,0.209199,0.207798,0.2091,0.2062,0.2091,0.2055,0.2091,0.2072,0.0775,0.092063,0.0898,0.0894,0.0808,0.0834,0.088663,0.0912
57,0.1875219999999999,0.1929,0.1936,0.1945,0.1945,0.1944219999999999,0.1912,0.191122,0.2102119999999999,0.2104,0.209206,0.2096,0.210306,0.209,0.2104,0.207618,0.2104,0.207612,0.2104,0.2084,0.079,0.0927,0.0906,0.09,0.0818,0.0842,0.0899,0.0922219999999999
58,0.189781,0.1938,0.194681,0.196,0.1958619999999999,0.1957,0.192,0.191781,0.2120519999999999,0.2112129999999999,0.2106259999999999,0.2114,0.2115129999999999,0.2102,0.2112129999999999,0.2092129999999999,0.2112129999999999,0.208913,0.2112129999999999,0.2098129999999999,0.0803,0.0933,0.0919619999999999,0.0915,0.0831809999999999,0.085281,0.0911,0.0931
59,0.19104,0.1946,0.1954,0.1973,0.1978,0.1967,0.1929,0.1928,0.2137,0.2126,0.213,0.2128,0.2132,0.2116,0.2126,0.21022,0.2126,0.21044,0.2126,0.2115,0.0816399999999999,0.0940399999999999,0.0943399999999999,0.0919,0.084,0.0866399999999999,0.0928,0.0947
60,0.1928,0.1961,0.196599,0.1981,0.199299,0.197799,0.1937,0.1935,0.215454,0.2136,0.2142,0.214227,0.214327,0.213127,0.2136,0.211854,0.2136,0.211627,0.2136,0.212627,0.0827,0.0946,0.095499,0.093799,0.084799,0.087999,0.093699,0.0956
