percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
20,0.056387,0.0744,0.0757,0.0762,0.063887,0.0664,0.0702,0.0724,0.0740359999999999,0.0658359999999999,0.0713719999999999,0.0692,0.0683,0.074,0.0658359999999999,0.0740719999999999,0.0658359999999999,0.073736,0.0658359999999999,0.073,0.1161,0.146443,0.132586,0.138543,0.1427,0.116243,0.146443,0.1161,0.146443,0.120943,0.146443,0.1264,0.042,0.0477,0.049387,0.0501,0.0443,0.0452,0.0463,0.0472
21,0.057134,0.074834,0.0765,0.0766,0.0645,0.0669,0.0708,0.072834,0.075752,0.0674,0.0725,0.070052,0.069,0.075752,0.0674,0.075752,0.0674,0.075152,0.0674,0.0741039999999999,0.1174,0.1473,0.133826,0.139326,0.1436,0.117426,0.1473,0.1177,0.1473,0.122326,0.1473,0.1278,0.0423,0.0486,0.0497,0.0503,0.0446,0.0455,0.0468,0.0475
22,0.058,0.0752,0.077,0.077,0.0652,0.0679,0.071381,0.0732,0.0768,0.068468,0.0736,0.071468,0.0698,0.0768,0.068468,0.0768,0.068468,0.0766,0.068468,0.0754,0.1185,0.148,0.135009,0.1403,0.1446,0.1186,0.148,0.119009,0.148,0.1234,0.148,0.129309,0.0427,0.0491,0.05,0.0506,0.045,0.0458,0.0471,0.0478
23,0.0587,0.0759,0.0773,0.0773,0.066,0.0684,0.0722,0.0737,0.0777839999999999,0.0696,0.0747,0.073,0.0709,0.0777839999999999,0.0696,0.0778,0.0696,0.0772839999999999,0.0696,0.0762,0.1196919999999999,0.1489919999999999,0.1361,0.141,0.1462,0.1199,0.1489919999999999,0.120284,0.1489919999999999,0.1247,0.1489919999999999,0.130492,0.0431,0.0494,0.0502,0.0511,0.0453,0.0461,0.0473,0.0481
24,0.059275,0.0766,0.0777,0.0777,0.0667,0.069,0.0731,0.0749,0.0796,0.0702,0.0761,0.0737,0.0719,0.0796,0.0702,0.0798,0.0702,0.0786,0.0702,0.0772,0.1206,0.1498,0.1369,0.142375,0.147075,0.121,0.1498,0.121375,0.1498,0.1259,0.1498,0.1317,0.0434,0.0498,0.0505,0.0514,0.0455,0.0464,0.0479,0.048575
25,0.0602,0.077022,0.0781,0.0783,0.0674,0.0697,0.0738,0.0757,0.0809479999999999,0.0715,0.0769,0.0751,0.072916,0.0809479999999999,0.0715,0.080716,0.0715,0.0799,0.0715,0.0787,0.122258,0.151058,0.1382,0.1433,0.147958,0.1223,0.151058,0.1224,0.151058,0.126958,0.151058,0.1327,0.043722,0.05,0.0508,0.0518,0.0459,0.0468,0.0482,0.049
26,0.0608,0.0776,0.0786,0.0791,0.0682,0.0702,0.0744,0.0763,0.0821,0.0724,0.0776,0.076,0.073832,0.0821,0.0724,0.081932,0.0724,0.081232,0.0724,0.0799,0.123341,0.152282,0.1393,0.144241,0.1488,0.123441,0.152282,0.1238,0.152282,0.1276,0.152282,0.1342,0.044269,0.0505,0.0511,0.0521,0.046269,0.047269,0.0484,0.0493
27,0.0615,0.0784,0.0788,0.0797,0.0688,0.070816,0.074916,0.076716,0.0831,0.0732,0.079248,0.076948,0.074748,0.0831,0.0732,0.083048,0.0732,0.0823,0.0732,0.081,0.124624,0.1535,0.14,0.1451,0.1496,0.1247,0.1535,0.1248,0.1535,0.1289239999999999,0.1535,0.135124,0.044716,0.0507,0.0517,0.0525,0.0467,0.0477,0.0486,0.0498
28,0.0623,0.0792,0.0796,0.0805259999999999,0.0694,0.0712629999999999,0.0756,0.0772,0.084364,0.074164,0.080564,0.078064,0.0758,0.084364,0.074164,0.084364,0.074164,0.0832,0.074164,0.081964,0.1257069999999999,0.1542,0.141,0.1459069999999999,0.1506,0.1258,0.1542,0.125907,0.1542,0.1306,0.1542,0.1359,0.0451,0.0511,0.0521,0.0527,0.0471,0.0482,0.0489,0.0502
29,0.0631,0.08,0.0804,0.08141,0.0699,0.0717,0.0763,0.0777,0.08528,0.07508,0.0816799999999999,0.0793,0.0768,0.08528,0.07508,0.0852,0.07508,0.0844,0.07508,0.083,0.12718,0.1555,0.1421899999999999,0.14679,0.1517899999999999,0.12718,0.1555,0.1274,0.1555,0.1315899999999999,0.1555,0.1366899999999999,0.0455,0.0513,0.0526,0.0532,0.0476,0.0484,0.0494,0.0506
