percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivput10,ivput1080,ivput120,ivput150,ivput180,ivput20,ivput270,ivput30,ivput360,ivput60,ivput720,ivput90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
20,0.0205,0.0268,0.0276,0.0279,0.0233,0.0236,0.0251,0.0262,0.0714,0.103,0.0895,0.0949,0.0999,0.071893,0.103,0.0723,0.103,0.0777,0.103,0.0837929999999999,0.0264,0.0312,0.0311,0.0317,0.0277,0.0292,0.0298,0.0307
21,0.0209,0.0272,0.0283,0.0281,0.0235,0.0239,0.0254,0.0266,0.072326,0.1038,0.0904259999999999,0.0957259999999999,0.1004,0.072626,0.1038,0.073126,0.1038,0.078426,0.1038,0.0849,0.027,0.0313,0.0318,0.032482,0.0286,0.0301,0.0305,0.0311
22,0.021363,0.0276,0.0286,0.0283,0.0237,0.0242,0.025963,0.0271,0.073,0.1047,0.091459,0.096759,0.1011,0.0734,0.1047,0.0739,0.1047,0.079059,0.1047,0.0856,0.027463,0.0318,0.0331,0.034089,0.029463,0.0307,0.031,0.032
23,0.0218,0.0281439999999999,0.0288,0.0284439999999999,0.024,0.0245439999999999,0.0265,0.0275,0.0736,0.1054,0.0924,0.0976,0.1018,0.0741,0.1054,0.0744,0.1054,0.0797919999999999,0.1054,0.0865,0.028,0.0331439999999999,0.0337439999999999,0.035044,0.0302,0.0311,0.0317,0.0329
24,0.0221,0.0285,0.029,0.0287,0.0243,0.0251,0.0269,0.0278,0.0744,0.1059,0.093,0.098425,0.1026,0.0746,0.1059,0.075,0.1059,0.0802249999999999,0.1059,0.0873,0.0284,0.034,0.035,0.0354,0.0309,0.0315,0.0325,0.033725
25,0.0225,0.028806,0.0293,0.029,0.0245,0.0255,0.0271,0.0281,0.074858,0.106558,0.0939,0.0992,0.103258,0.0751,0.106558,0.075958,0.106558,0.0808,0.106558,0.088,0.0288,0.0347,0.0355,0.0358,0.0313,0.0317,0.033106,0.0342
26,0.0228,0.0291,0.0294,0.0297,0.0248,0.0258,0.0273,0.0285,0.0756,0.1077,0.0945,0.099891,0.104,0.0759,0.1077,0.0768,0.1077,0.0814,0.1077,0.0887,0.0296,0.035,0.036,0.0361,0.0317,0.0321,0.034,0.0345
27,0.0232,0.0295,0.0296,0.0299,0.0251,0.0261,0.0279,0.0288,0.076324,0.108424,0.095524,0.100624,0.1049,0.0768,0.108424,0.077624,0.108424,0.0822,0.108424,0.0896,0.0301,0.0354,0.0363,0.0364,0.032,0.0324,0.0345,0.0349
28,0.0237,0.0299,0.0298,0.0302,0.0254,0.0266,0.0285489999999999,0.0292,0.0772139999999999,0.1095,0.0963,0.1015,0.1056,0.0779,0.1095,0.078457,0.1095,0.0828,0.1095,0.0902,0.0306,0.0359,0.0366489999999999,0.0371,0.0323,0.0328,0.0349,0.0353489999999999
29,0.0239,0.0302,0.0299,0.0305,0.0257,0.027,0.0289,0.0295,0.07839,0.11049,0.0972,0.1021,0.10629,0.0787,0.11049,0.0794,0.11049,0.0835,0.11049,0.0912,0.0310299999999999,0.0365,0.0368,0.0376,0.0327,0.0331,0.0355,0.0357
30,0.0243,0.0305,0.0303,0.0308,0.0261,0.0274,0.0293,0.0296,0.079023,0.1113,0.0979,0.102723,0.107,0.0794,0.1113,0.080223,0.1113,0.0843,0.1113,0.0921,0.0316,0.037,0.0372,0.038,0.0331,0.0334,0.0358,0.0361
31,0.0247,0.0308,0.0307,0.031492,0.0264,0.0278,0.0299,0.029992,0.0798,0.111856,0.0989,0.1034,0.1077,0.0802,0.111856,0.0806,0.111856,0.0851,0.111856,0.0928,0.032,0.0373,0.0374,0.038492,0.0334,0.0337,0.0361,0.0363
32,0.0252,0.0311,0.031,0.0334,0.0269,0.0282,0.0303,0.0305,0.080589,0.1126,0.0996,0.1041,0.108589,0.0807,0.1126,0.0812,0.1126,0.0861,0.1126,0.0937,0.0323,0.0376,0.0378,0.0394,0.0337,0.0341,0.0363,0.0366
33,0.025554,0.0313,0.031254,0.0341,0.0274,0.0286,0.0305,0.031,0.081122,0.1132,0.100422,0.1051,0.1093,0.0814,0.1132,0.082022,0.1132,0.087,0.1132,0.0947,0.033,0.037854,0.0383,0.0402,0.0339,0.0343,0.0366,0.037
34,0.026,0.0316,0.0319,0.0345,0.0279,0.029,0.0308,0.0313,0.081755,0.1139,0.1012,0.105955,0.1104,0.0822,0.1139,0.0829,0.1139,0.0884,0.1139,0.0956549999999999,0.0334,0.0381,0.0387,0.0409,0.0344,0.0349,0.0369,0.0373
35,0.0264,0.0317,0.0333,0.035,0.0283,0.0294,0.0311,0.0318,0.0827,0.1147,0.102288,0.107688,0.1112,0.083,0.1147,0.0837,0.1147,0.0895,0.1147,0.0964,0.0338,0.0384,0.04,0.0414,0.0348,0.0353,0.0372,0.0375159999999999
36,0.0268,0.032097,0.0345,0.0365,0.028897,0.0299,0.0314,0.0322,0.083521,0.1154,0.1036,0.1086,0.112042,0.0839,0.1154,0.084721,0.1154,0.090921,0.1154,0.0973,0.0342,0.0387,0.0406,0.0418,0.035,0.035697,0.0374,0.0379
